id,title,publication_date,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,url
jgvMM0kX1io,CHERPRANG VLOG EP02 : World Senbatsu in Japan / CherprangBNK48,2018-09-13T06:22:49.000Z,185169,6178,93,0,501,https://www.youtube.com/watch?v=jgvMM0kX1io
JMMGB_OIWxU,เพื่อนร่วมทาง The Journey Ep.10 Part 3,2018-03-15T16:00:01.000Z,55740,752,16,0,140,https://www.youtube.com/watch?v=JMMGB_OIWxU
jQGFFQRGhbE,CHERPRANG VLOG EP04 : World Senbatsu in Japan / CherprangBNK48,2018-10-11T08:35:42.000Z,131882,5658,54,0,780,https://www.youtube.com/watch?v=jQGFFQRGhbE
jsx0jxk9lE4,BNK48 Show EP04 Break03,2017-07-31T09:53:13.000Z,614063,4219,124,0,255,https://www.youtube.com/watch?v=jsx0jxk9lE4
jXniuuFuF6Q,KhunKai’s Kitchen EP24 : Choco Lava Mug Cake / KaimookBNK48,2018-09-05T05:12:33.000Z,318210,6695,104,0,416,https://www.youtube.com/watch?v=jXniuuFuF6Q
kiIsJ_obGY4,BNK48 Show EP02 Break04,2017-07-17T05:00:03.000Z,248710,1624,25,0,139,https://www.youtube.com/watch?v=kiIsJ_obGY4
kjqcuAL91Hg,BNK48 Senpai ep.02 (Part 1),2017-03-02T14:46:58.000Z,560929,3536,72,0,445,https://www.youtube.com/watch?v=kjqcuAL91Hg
KlFeUyIadOo,BNK48 Show EP02 Break01,2017-07-17T05:00:00.000Z,427906,3187,60,0,251,https://www.youtube.com/watch?v=KlFeUyIadOo
kMKIybO_1Pw,「Shonichi (Instrumental solo ver.)」from BNK48 We Wish You! A Merry Christmas –Fan Meet– / BNK48,2017-12-28T16:25:38.000Z,355208,7217,77,0,368,https://www.youtube.com/watch?v=kMKIybO_1Pw
krWVurLdxM8,29 Seconds of 29 members #09 : Kaew,2017-05-01T13:08:46.000Z,36249,736,6,0,23,https://www.youtube.com/watch?v=krWVurLdxM8
kuhnap44Izo,「Tsugi no Season –ฤดูใหม่–」Senbatsu Members Announcement / BNK48,2018-07-17T14:15:02.000Z,274958,13048,245,0,1963,https://www.youtube.com/watch?v=kuhnap44Izo
kyP4xYmPw54,BNK48 Trainee｜Dusita Kitisarakulchai (Natherine),2018-11-16T05:45:00.000Z,39616,1685,44,0,158,https://www.youtube.com/watch?v=kyP4xYmPw54
l_gPPM83IaI,BNK48 ตัวอย่างวีดีโอเต้น Koisuru Fortune Cookie คุกกี้เสี่ยงทาย,2017-09-10T01:00:01.000Z,109518,2123,31,0,148,https://www.youtube.com/watch?v=l_gPPM83IaI
l1yjDxu5fU8,BNK48 Digital Live Studio 7th Sep.r 2017,2017-09-07T13:31:40.000Z,62416,1016,9,0,45,https://www.youtube.com/watch?v=l1yjDxu5fU8
L3oy9k1-coo,BNK48 SHOW EP9 Break03,2017-09-18T05:00:00.000Z,878552,5857,197,0,446,https://www.youtube.com/watch?v=L3oy9k1-coo
L6HgZqp-ew8,BNK48 Senpai ep.01 (Part 1),2017-03-01T14:54:03.000Z,1347166,9763,320,0,978,https://www.youtube.com/watch?v=L6HgZqp-ew8
Lb96igqAXhE,Important Announcement from BNK48 Committee / BNK48,2018-01-29T11:00:02.000Z,442675,9078,365,0,2698,https://www.youtube.com/watch?v=Lb96igqAXhE
Ldj8T0nojq8,เพื่อนร่วมทาง The Journey Ep.06 Part 1,2018-02-15T16:03:43.000Z,108722,1436,24,0,131,https://www.youtube.com/watch?v=Ldj8T0nojq8
LgKCDh2_g6I,BNK48 SHOW EP7 Break04,2017-09-04T05:00:00.000Z,561641,3284,126,0,200,https://www.youtube.com/watch?v=LgKCDh2_g6I
lHWThIEnZ5w,BNK48 × Changsuek เชียร์ไทยใช้ใจล้วนๆ,2018-03-13T11:00:03.000Z,475352,12961,159,0,1357,https://www.youtube.com/watch?v=lHWThIEnZ5w
LKi1zPis_3Q,BNK48 Senpai ep.13 (Part 3),2017-03-30T20:00:36.000Z,337843,2644,58,0,82,https://www.youtube.com/watch?v=LKi1zPis_3Q
LlqjiiwZhl0,BNK48 Show EP01 Break03,2017-07-10T08:19:35.000Z,468392,3020,71,0,172,https://www.youtube.com/watch?v=LlqjiiwZhl0
Lp0AyFwYR44,KhunKai’s Kitchen EP01 : Meringue / KaimookBNK48,2018-09-03T04:40:46.000Z,40487,1653,25,0,134,https://www.youtube.com/watch?v=Lp0AyFwYR44
LpLWRd5Lfdg,KhunKai’s Kitchen EP03 : Strawberry Panna Cotta / KaimookBNK48,2018-09-03T04:41:03.000Z,23603,1244,17,0,94,https://www.youtube.com/watch?v=LpLWRd5Lfdg
lvhKEdUyGK0,BNK48 Senpai ep.03 (Part 1),2017-03-08T06:22:48.000Z,437731,2685,55,0,190,https://www.youtube.com/watch?v=lvhKEdUyGK0
M03mNS6vTjU,BNK48 Trainee｜Mananya Kaoju (Nink),2018-11-16T05:45:01.000Z,38561,1439,101,0,144,https://www.youtube.com/watch?v=M03mNS6vTjU
m6i6oDSmgyA,29 Seconds of 29 members #28 : Satchan,2017-05-01T13:08:33.000Z,62215,1044,24,0,38,https://www.youtube.com/watch?v=m6i6oDSmgyA
MaPKPfKNx1U,BNK48 Show EP8 Break02,2017-09-11T05:00:01.000Z,405211,2880,86,0,254,https://www.youtube.com/watch?v=MaPKPfKNx1U
mE4G0V1R9O8,BNK48 Team BⅢ｜Sawitchaya Kajonrungsilp (Satchan),2018-11-16T05:45:01.000Z,72119,2919,43,0,209,https://www.youtube.com/watch?v=mE4G0V1R9O8
mfqJyKm20Z4,【MV Full】Koisuru Fortune Cookie คุกกี้เสี่ยงทาย / BNK48,2017-11-18T11:11:15.000Z,159317405,685205,65675,0,123533,https://www.youtube.com/watch?v=mfqJyKm20Z4
MjQgdETPG3k,BNK48 SENPAI : 2nd Generation | Teaser,2018-08-30T10:48:09.000Z,192101,8521,147,0,904,https://www.youtube.com/watch?v=MjQgdETPG3k
mo4l8f_VZXo,【MV Full】BNK Festival / BNK48,2018-11-22T13:00:05.000Z,3201827,111029,4295,0,17379,https://www.youtube.com/watch?v=mo4l8f_VZXo
mOpNJ3Ygc1U,BNK48 SHOW EP9 Break04,2017-09-18T05:00:01.000Z,422594,2505,75,0,171,https://www.youtube.com/watch?v=mOpNJ3Ygc1U
MZNeqW0Dykk,เพื่อนร่วมทาง The Journey Ep.04 Part 2,2018-02-02T06:31:54.000Z,112171,1050,26,0,82,https://www.youtube.com/watch?v=MZNeqW0Dykk
nag9fwxFBAo,【MV Teaser】Kimi wa Melody เธอคือ…เมโลดี้ / BNK48,2018-09-01T03:00:03.000Z,383027,22479,186,0,2890,https://www.youtube.com/watch?v=nag9fwxFBAo
nFHb-y1SBUs,BNK48 Senpai ep.06 (Part 4),2017-03-15T08:13:13.000Z,322117,1851,50,0,118,https://www.youtube.com/watch?v=nFHb-y1SBUs
nG-d0_uARLM,BNK48 SHOW EP6 Break04,2017-08-28T13:47:57.000Z,325814,2923,43,0,408,https://www.youtube.com/watch?v=nG-d0_uARLM
Nip0rJCLlok,BNK48 SHOW EP7 Break03,2017-09-04T05:00:01.000Z,787519,4763,184,0,580,https://www.youtube.com/watch?v=Nip0rJCLlok
nIUCcnd84c8,BNK48 Team BⅢ｜Korapat Nilprapa (Kate),2018-11-16T05:45:01.000Z,50856,2097,37,0,220,https://www.youtube.com/watch?v=nIUCcnd84c8
Nk4ooIHagfQ,BNK48 Trainee｜Chanyapuk Numprasop (New),2018-11-16T05:45:00.000Z,59135,2779,32,0,225,https://www.youtube.com/watch?v=Nk4ooIHagfQ
nKrS0uvG380,BNK48 Show EP8 Break04,2017-09-11T05:00:01.000Z,639214,5136,141,0,407,https://www.youtube.com/watch?v=nKrS0uvG380
NogZnIRNWmY,"BNK48 2nd Single ""Koisuru Fortune Cookie –คุกกี้เสี่ยงทาย–"" Senbatsu Member Announcement",2017-09-23T12:16:54.000Z,161599,2558,48,0,245,https://www.youtube.com/watch?v=NogZnIRNWmY
nv6sfWTgZW8,KhunKai’s Kitchen EP10 : อยากกินก๋วยเตี๋ยวว้อย! / KaimookBNK48,2018-09-03T04:44:09.000Z,77849,2798,65,0,163,https://www.youtube.com/watch?v=nv6sfWTgZW8
nwRFy64XONU,29 Seconds of 29 members #25 : Piam,2017-05-01T13:08:36.000Z,29182,473,49,0,20,https://www.youtube.com/watch?v=nwRFy64XONU
NYGS6qXbu_E,BNK48 Senpai ep.02 (Part 4),2017-03-02T14:46:57.000Z,518753,2999,60,0,385,https://www.youtube.com/watch?v=NYGS6qXbu_E
O_RFhMlUtp4,BNK48 SHOW EP13 (Director's Cut) Break03,2017-12-05T05:00:03.000Z,1341882,7954,295,0,768,https://www.youtube.com/watch?v=O_RFhMlUtp4
O0XTZu0SEj4,29 Seconds of 29 members #14 : Maysa,2017-05-01T13:08:41.000Z,32739,550,142,0,25,https://www.youtube.com/watch?v=O0XTZu0SEj4
OCGdOa_Vur8,BNK48 Trainee｜Rachaya Tupkunanon (Minmin),2018-11-16T05:45:00.000Z,49783,2170,19,0,182,https://www.youtube.com/watch?v=OCGdOa_Vur8
ocHexbCqcxE,KhunKai’s Kitchen EP02 : Animal Pancake / KaimookBNK48,2018-09-03T04:40:47.000Z,23982,1191,16,0,96,https://www.youtube.com/watch?v=ocHexbCqcxE
of4wkMsff3A,「BNK48 Team BⅢ Announcement」from BNK48 We Wish You! A Merry Christmas –Fan Meet– / BNK48,2017-12-26T13:32:13.000Z,484945,5620,119,0,472,https://www.youtube.com/watch?v=of4wkMsff3A
ohZ-HXdiXYg,BNK48 Show EP5 Break 03,2017-08-21T05:00:01.000Z,455185,2468,91,0,183,https://www.youtube.com/watch?v=ohZ-HXdiXYg
ooyxicrZW_s,29 Seconds of 29 members #01 : Can,2017-05-01T13:08:39.000Z,64180,732,13,0,34,https://www.youtube.com/watch?v=ooyxicrZW_s
osz-xpI_ODs,BNK48 SHOW EP11 Break02,2017-11-13T05:00:05.000Z,249966,1823,49,0,126,https://www.youtube.com/watch?v=osz-xpI_ODs
owk5Y1IbmZU,BNK48 Show EP12 Break03,2017-11-20T07:00:01.000Z,643016,5325,108,0,931,https://www.youtube.com/watch?v=owk5Y1IbmZU
oZR9Sit2S9Q,29 Seconds of 29 members #17 : Mobile,2017-05-01T13:08:44.000Z,69859,1375,92,0,118,https://www.youtube.com/watch?v=oZR9Sit2S9Q
OzWQW3VxReg,BNK48 Senpai ep.08 (Part 1),2017-03-17T09:09:45.000Z,346658,2077,53,0,97,https://www.youtube.com/watch?v=OzWQW3VxReg
