id,title,publication_date,viewCount,likeCount,dislikeCount,commentCount,url
IYhMXb-7fJY,เพื่อนร่วมทาง The Journey Ep.07 Part 3,22/02/2018 10:00 PM,89826,1721,18,248,https://www.youtube.com/watch?v=IYhMXb-7fJY
awJd6vaaZlc,【MV Full】Anata to Christmas Eve คำสัญญาแห่งคริสต์มาสอีฟ / BNK48,26/02/2018 7:34 PM,4454689,76901,2197,11891,https://www.youtube.com/watch?v=awJd6vaaZlc
JBnRbW71uI8,เพื่อนร่วมทาง The Journey Ep.08 Part 2,1/03/2018 11:00 PM,83177,804,20,64,https://www.youtube.com/watch?v=JBnRbW71uI8
b05YrAEe6bo,เพื่อนร่วมทาง The Journey Ep.08 Part 1,1/03/2018 11:00 PM,117372,1525,29,133,https://www.youtube.com/watch?v=b05YrAEe6bo
bKAO05PQX8w,เพื่อนร่วมทาง The Journey Ep.08 Part 3,8/03/2018 10:11 PM,66637,788,15,88,https://www.youtube.com/watch?v=bKAO05PQX8w
BKHHw5vuubk,เพื่อนร่วมทาง The Journey Ep.09 Part 1,8/03/2018 11:00 PM,81198,1004,12,107,https://www.youtube.com/watch?v=BKHHw5vuubk
XMHEZTd5Df0,เพื่อนร่วมทาง The Journey Ep.09 Part 2,8/03/2018 11:00 PM,63589,772,18,125,https://www.youtube.com/watch?v=XMHEZTd5Df0
gT9KMFyXhYU,เพื่อนร่วมทาง The Journey Ep.09 Part 3,8/03/2018 11:28 PM,72390,1057,22,178,https://www.youtube.com/watch?v=gT9KMFyXhYU
lHWThIEnZ5w,BNK48 × Changsuek เชียร์ไทยใช้ใจล้วนๆ,13/03/2018 6:00 PM,475352,12961,159,1357,https://www.youtube.com/watch?v=lHWThIEnZ5w
JMMGB_OIWxU,เพื่อนร่วมทาง The Journey Ep.10 Part 3,15/03/2018 11:00 PM,55740,752,16,140,https://www.youtube.com/watch?v=JMMGB_OIWxU
VHkstAtD2b4,เพื่อนร่วมทาง The Journey Ep.10 Part 2,15/03/2018 11:00 PM,56319,777,16,115,https://www.youtube.com/watch?v=VHkstAtD2b4
W3pxGRjNjsw,เพื่อนร่วมทาง The Journey Ep.10 Part 1,15/03/2018 11:00 PM,75857,937,24,89,https://www.youtube.com/watch?v=W3pxGRjNjsw
7ASjpSbmz0A,【MV Teaser】Shonichi วันแรก / BNK48,21/03/2018 6:00 PM,392705,14559,222,2078,https://www.youtube.com/watch?v=7ASjpSbmz0A
VACu_EFIeLU,เพื่อนร่วมทาง The Journey Ep.11 Part 3,22/03/2018 11:00 PM,54282,847,20,161,https://www.youtube.com/watch?v=VACu_EFIeLU
UQrrUZ6-HgU,เพื่อนร่วมทาง The Journey Ep.11 Part 2,22/03/2018 11:00 PM,46951,621,22,60,https://www.youtube.com/watch?v=UQrrUZ6-HgU
